8570,1320,4.0,1526860800
1227,1320,4.0,1526860800
1885,1320,3.0,1526860800
5629,1320,3.0,1526860800
4542,1320,4.0,1521590400
1953,1320,3.0,1505088000
7173,1320,3.0,1505088000
8831,1320,5.0,1505088000
8741,1320,4.0,1504828800
6107,1320,4.0,1504828800
9411,1320,3.0,1504828800
9267,1320,5.0,1504137600
506,1408,5.0,1528761600
7210,1408,5.0,1528761600
7812,1408,5.0,1519948800
9655,1408,5.0,1517788800
4679,1408,5.0,1517788800
7824,1408,5.0,1517788800
518,1408,5.0,1516924800
1239,1408,5.0,1516924800
792,1408,5.0,1489190400
1524,1408,5.0,1453593600
5265,1408,5.0,1453507200
9314,1408,5.0,1442620800
4762,234,5.0,1471564800
5874,234,5.0,1470009600
7694,234,5.0,1455840000
4068,234,5.0,1448236800
4020,234,5.0,1447459200
8492,234,5.0,1447200000
4708,234,5.0,1446076800
4385,234,5.0,1441238400
6860,234,5.0,1435968000
447,234,5.0,1431648000
8753,234,5.0,1429747200
2000,234,5.0,1429056000
2285,154,5.0,1530230400
2242,154,5.0,1522886400
6569,154,4.0,1518652800
7341,154,5.0,1513382400
3395,154,5.0,1513123200
4515,154,4.0,1512950400
5433,154,5.0,1511740800
7137,154,3.0,1510185600
1426,154,1.0,1505174400
4820,154,5.0,1504310400
2376,154,4.0,1503964800
8289,154,4.0,1491955200
6256,914,3.0,1493596800
7304,914,5.0,1479427200
8839,914,5.0,1479427200
6413,914,5.0,1479168000
8505,914,5.0,1477958400
6549,914,3.0,1477958400
3378,914,2.0,1477958400
2938,914,5.0,1477958400
1377,914,5.0,1477958400
7859,914,4.0,1477958400
3758,914,5.0,1477958400
396,914,5.0,1477958400
6256,1340,1.0,1456012800
1309,1340,1.0,1448323200
704,1340,5.0,1375315200
3289,1340,5.0,1375315200
1041,1340,5.0,1373414400
5904,1340,5.0,1373414400
1470,1340,5.0,1373414400
7731,1340,5.0,1373414400
995,1340,5.0,1373328000
1388,1340,5.0,1373241600
2225,1340,5.0,1373068800
4714,1340,5.0,1372636800
904,371,5.0,1432684800
5904,371,5.0,1431388800
1470,371,5.0,1431388800
5102,371,5.0,1430784000
8021,371,5.0,1430179200
4493,371,5.0,1429833600
3364,371,5.0,1429660800
7137,371,5.0,1429401600
849,371,5.0,1429228800
6720,371,5.0,1428537600
7044,371,5.0,1428192000
6753,371,5.0,1427673600
4851,1049,5.0,1517529600
753,1049,2.0,1491004800
2110,1049,5.0,1490659200
375,1049,5.0,1490659200
